,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
13,2023-11-03,20:45,Serie A,Matchweek 11,Fri,Away,L,0.0,1.0,Bologna,0.5,0.6,50.0,,Luis Alberto,4-3-3,Federico La Penna,Match Report,,11.0,1.0,18.6,0.0,0,0,2024,Lazio
15,2023-11-12,18:00,Serie A,Matchweek 12,Sun,Home,D,0.0,0.0,Roma,0.4,0.4,49.0,,Ciro Immobile,4-3-3,Davide Massa,Match Report,,7.0,2.0,22.1,0.0,0,0,2024,Lazio
16,2023-11-25,15:00,Serie A,Matchweek 13,Sat,Away,L,1.0,2.0,Salernitana,2.0,1.7,62.0,,Ciro Immobile,4-3-3,Alessandro Prontera,Match Report,,12.0,1.0,20.3,1.0,1,1,2024,Lazio
1,2023-08-21,18:30,Serie A,Matchweek 1,Mon,Home,D,0.0,0.0,Cagliari,1.0,0.4,57.0,,Ricardo Rodríguez,3-4-3,Francesco Cosso,Match Report,,11.0,2.0,17.1,0.0,0,0,2024,Torino
2,2023-08-26,20:45,Serie A,Matchweek 2,Sat,Away,L,1.0,4.0,Milan,0.5,3.0,41.0,,Ricardo Rodríguez,3-4-3,Maurizio Mariani,Match Report,,8.0,1.0,21.6,0.0,0,0,2024,Torino
3,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,1.0,0.0,Genoa,0.4,0.2,63.0,,Ricardo Rodríguez,3-4-3,Daniele Chiffi,Match Report,,10.0,3.0,22.4,2.0,0,0,2024,Torino
4,2023-09-18,18:30,Serie A,Matchweek 4,Mon,Away,W,3.0,0.0,Salernitana,1.8,0.7,44.0,,Ricardo Rodríguez,3-4-3,Antonio Giua,Match Report,,11.0,3.0,16.7,0.0,0,0,2024,Torino
5,2023-09-24,20:45,Serie A,Matchweek 5,Sun,Home,D,1.0,1.0,Roma,0.9,1.4,41.0,,Ricardo Rodríguez,3-4-3,Marco Guida,Match Report,,12.0,4.0,19.2,0.0,0,0,2024,Torino
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,L,0.0,2.0,Lazio,0.3,0.9,49.0,,Ricardo Rodríguez,3-4-3,Michael Fabbri,Match Report,,7.0,2.0,19.9,0.0,0,0,2024,Torino
7,2023-10-02,18:30,Serie A,Matchweek 7,Mon,Home,D,0.0,0.0,Hellas Verona,0.6,0.3,55.0,,Ricardo Rodríguez,3-4-3,Ermanno Feliciani,Match Report,,8.0,2.0,22.1,0.0,0,0,2024,Torino
8,2023-10-07,18:00,Serie A,Matchweek 8,Sat,Away,L,0.0,2.0,Juventus,0.6,1.9,50.0,,Ricardo Rodríguez,3-4-3,Davide Massa,Match Report,,10.0,1.0,18.3,1.0,0,0,2024,Torino
9,2023-10-21,18:00,Serie A,Matchweek 9,Sat,Home,L,0.0,3.0,Inter,0.4,2.5,47.0,,Ricardo Rodríguez,3-4-3,Matteo Marchetti,Match Report,,7.0,3.0,18.6,0.0,0,0,2024,Torino
10,2023-10-28,18:00,Serie A,Matchweek 10,Sat,Away,W,1.0,0.0,Lecce,0.8,0.5,51.0,,Ricardo Rodríguez,3-5-2,Gianluca Aureliano,Match Report,,10.0,2.0,16.2,1.0,0,0,2024,Torino
12,2023-11-06,20:45,Serie A,Matchweek 11,Mon,Home,W,2.0,1.0,Sassuolo,3.5,0.5,54.0,,Ricardo Rodríguez,3-4-1-2,Maria Sole Ferrieri Caputi,Match Report,,21.0,9.0,13.4,0.0,0,0,2024,Torino
13,2023-11-11,20:45,Serie A,Matchweek 12,Sat,Away,D,1.0,1.0,Monza,1.0,0.9,56.0,,Ricardo Rodríguez,3-5-2,Daniele Doveri,Match Report,,12.0,5.0,16.8,0.0,0,0,2024,Torino
14,2023-11-27,20:45,Serie A,Matchweek 13,Mon,Away,L,0.0,2.0,Bologna,0.4,1.5,52.0,,Ricardo Rodríguez,3-4-1-2,Andrea Colombo,Match Report,,9.0,3.0,19.1,0.0,0,0,2024,Torino
1,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Home,W,2.0,1.0,Lazio,1.4,1.6,48.0,,Gabriel Strefezza,4-3-3,Federico Dionisi,Match Report,,23.0,7.0,20.4,1.0,0,0,2024,Lecce
2,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Away,D,2.0,2.0,Fiorentina,0.3,1.3,41.0,,Gabriel Strefezza,4-3-3,Maria Sole Ferrieri Caputi,Match Report,,6.0,2.0,20.1,0.0,0,0,2024,Lecce
3,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Home,W,2.0,0.0,Salernitana,1.7,1.1,46.0,,Federico Baschirotto,4-3-3,Luca Massimi,Match Report,,19.0,5.0,21.1,0.0,1,1,2024,Lecce
4,2023-09-17,15:00,Serie A,Matchweek 4,Sun,Away,D,1.0,1.0,Monza,0.9,2.2,39.0,,Federico Baschirotto,4-3-3,Livio Marinelli,Match Report,,3.0,2.0,22.4,0.0,1,1,2024,Lecce
5,2023-09-22,20:45,Serie A,Matchweek 5,Fri,Home,W,1.0,0.0,Genoa,0.9,0.3,56.0,27000.0,Gabriel Strefezza,4-3-3,Antonio Rapuano,Match Report,,18.0,3.0,22.4,1.0,0,0,2024,Lecce
6,2023-09-26,20:45,Serie A,Matchweek 6,Tue,Away,L,0.0,1.0,Juventus,0.1,1.4,50.0,,Gabriel Strefezza,4-3-3,Antonio Giua,Match Report,,2.0,0.0,18.2,0.0,0,0,2024,Lecce
7,2023-09-30,15:00,Serie A,Matchweek 7,Sat,Home,L,0.0,4.0,Napoli,0.5,2.5,44.0,,Gabriel Strefezza,4-3-3,Luca Pairetto,Match Report,,9.0,4.0,17.6,0.0,0,0,2024,Lecce
8,2023-10-06,20:45,Serie A,Matchweek 8,Fri,Home,D,1.0,1.0,Sassuolo,1.7,1.5,43.0,,Gabriel Strefezza,4-3-3,Juan Sacchi,Match Report,,13.0,4.0,15.2,0.0,0,0,2024,Lecce
9,2023-10-23,18:30,Serie A,Matchweek 9,Mon,Away,D,1.0,1.0,Udinese,0.8,2.1,54.0,,Gabriel Strefezza,4-3-3,Paride Tremolada,Match Report,,12.0,1.0,20.4,0.0,0,0,2024,Lecce
10,2023-10-28,18:00,Serie A,Matchweek 10,Sat,Home,L,0.0,1.0,Torino,0.5,0.8,49.0,,Federico Baschirotto,4-3-3,Gianluca Aureliano,Match Report,,11.0,6.0,19.0,0.0,0,0,2024,Lecce
12,2023-11-05,18:00,Serie A,Matchweek 11,Sun,Away,L,1.0,2.0,Roma,0.8,2.0,40.0,64790.0,Federico Baschirotto,4-3-3,Andrea Colombo,Match Report,,15.0,4.0,20.6,1.0,0,0,2024,Lecce
13,2023-11-11,15:00,Serie A,Matchweek 12,Sat,Home,D,2.0,2.0,Milan,1.4,1.1,45.0,,Gabriel Strefezza,4-3-3,Rosario Abisso,Match Report,,14.0,5.0,19.6,1.0,0,0,2024,Lecce
14,2023-11-27,18:30,Serie A,Matchweek 13,Mon,Away,D,2.0,2.0,Hellas Verona,1.0,1.7,51.0,,Alexis Blin,4-3-3,Federico La Penna,Match Report,,14.0,5.0,19.0,0.0,0,0,2024,Lecce
1,2023-08-20,18:30,Serie A,Matchweek 1,Sun,Home,L,0,2,Atalanta,0.4,1.3,49.0,,Andrea Consigli,4-2-3-1,Matteo Marchetti,Match Report,,11.0,3.0,23.0,0.0,0,0,2024,Sassuolo
2,2023-08-27,20:45,Serie A,Matchweek 2,Sun,Away,L,0,2,Napoli,0.2,3.5,33.0,,Andrea Consigli,4-3-3,Antonio Giua,Match Report,,6.0,1.0,23.8,0.0,0,0,2024,Sassuolo
3,2023-09-01,18:30,Serie A,Matchweek 3,Fri,Home,W,3,1,Hellas Verona,1.7,0.6,47.0,,Andrea Consigli,4-3-3,Marco Piccinini,Match Report,,15.0,6.0,16.6,1.0,1,1,2024,Sassuolo
4,2023-09-17,15:00,Serie A,Matchweek 4,Sun,Away,L,2,4,Frosinone,1.3,2.8,45.0,,Martin Erlic,4-4-2,Alessandro Prontera,Match Report,,18.0,7.0,19.2,1.0,0,0,2024,Sassuolo
5,2023-09-23,18:00,Serie A,Matchweek 5,Sat,Home,W,4,2,Juventus,1.6,1.2,43.0,,Martin Erlic,4-2-3-1,Andrea Colombo,Match Report,,18.0,7.0,17.8,0.0,0,0,2024,Sassuolo
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,W,2,1,Inter,1.0,0.9,37.0,,Andrea Consigli,4-2-3-1,Luca Massimi,Match Report,,13.0,6.0,19.1,0.0,0,0,2024,Sassuolo
7,2023-10-02,18:30,Serie A,Matchweek 7,Mon,Home,L,0,1,Monza,1.4,1.5,44.0,,Andrea Consigli,4-2-3-1,Luca Zufferli,Match Report,,19.0,7.0,17.0,1.0,0,0,2024,Sassuolo
8,2023-10-06,20:45,Serie A,Matchweek 8,Fri,Away,D,1,1,Lecce,1.5,1.7,57.0,,Gian Marco Ferrari,4-2-3-1,Juan Sacchi,Match Report,,13.0,0.0,22.7,0.0,1,1,2024,Sassuolo
9,2023-10-21,20:45,Serie A,Matchweek 9,Sat,Home,L,0,2,Lazio,0.5,2.3,51.0,,Gian Marco Ferrari,4-2-3-1,Marco Di Bello,Match Report,,9.0,2.0,23.8,1.0,0,0,2024,Sassuolo
10,2023-10-28,15:00,Serie A,Matchweek 10,Sat,Home,D,1,1,Bologna,0.9,1.0,41.0,,Gian Marco Ferrari,4-2-3-1,Antonio Giua,Match Report,,16.0,5.0,19.8,0.0,0,0,2024,Sassuolo
12,2023-11-06,20:45,Serie A,Matchweek 11,Mon,Away,L,1,2,Torino,0.5,3.5,46.0,,Martin Erlic,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,5.0,2.0,14.7,0.0,0,0,2024,Sassuolo
13,2023-11-10,18:30,Serie A,Matchweek 12,Fri,Home,D,2,2,Salernitana,2.9,0.8,63.0,,Gian Marco Ferrari,4-2-3-1,Davide Ghersini,Match Report,,29.0,9.0,16.8,0.0,0,0,2024,Sassuolo
14,2023-11-26,15:00,Serie A,Matchweek 13,Sun,Away,W,4,3,Empoli,2.3,1.4,51.0,,Martin Erlic,4-2-3-1,Simone Sozza,Match Report,,16.0,8.0,18.2,1.0,1,1,2024,Sassuolo
1,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,L,1.0,4.0,Fiorentina,0.2,1.0,32.0,,Milan Badelj,3-5-2,Giovanni Ayroldi,Match Report,,4.0,2.0,11.0,0.0,0,0,2024,Genoa
2,2023-08-27,20:45,Serie A,Matchweek 2,Sun,Away,W,1.0,0.0,Lazio,0.6,1.4,30.0,,Milan Badelj,4-3-2-1,Livio Marinelli,Match Report,,5.0,3.0,16.3,0.0,0,0,2024,Genoa
3,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Away,L,0.0,1.0,Torino,0.2,0.4,37.0,,Milan Badelj,4-3-2-1,Daniele Chiffi,Match Report,,7.0,2.0,25.6,0.0,0,0,2024,Genoa
4,2023-09-16,20:45,Serie A,Matchweek 4,Sat,Home,D,2.0,2.0,Napoli,1.2,0.9,34.0,,Milan Badelj,4-4-2,Michael Fabbri,Match Report,,8.0,3.0,15.6,0.0,0,0,2024,Genoa
5,2023-09-22,20:45,Serie A,Matchweek 5,Fri,Away,L,0.0,1.0,Lecce,0.3,0.9,44.0,27000.0,Milan Badelj,4-4-2,Antonio Rapuano,Match Report,,8.0,1.0,16.8,1.0,0,0,2024,Genoa
6,2023-09-28,20:45,Serie A,Matchweek 6,Thu,Home,W,4.0,1.0,Roma,1.1,1.4,29.0,,Milan Badelj,3-5-2,Daniele Orsato,Match Report,,8.0,4.0,14.5,0.0,0,0,2024,Genoa
7,2023-10-01,15:00,Serie A,Matchweek 7,Sun,Away,D,2.0,2.0,Udinese,0.8,1.3,41.0,,Mattia Bani,3-5-2,Maurizio Mariani,Match Report,,8.0,4.0,17.4,0.0,0,0,2024,Genoa
8,2023-10-07,20:45,Serie A,Matchweek 8,Sat,Home,L,0.0,1.0,Milan,0.5,0.6,41.0,,Mattia Bani,4-5-1,Marco Piccinini,Match Report,,7.0,1.0,18.1,1.0,0,0,2024,Genoa
9,2023-10-22,18:00,Serie A,Matchweek 9,Sun,Away,L,0.0,2.0,Atalanta,1.0,1.2,44.0,,Mattia Bani,3-5-2,Livio Marinelli,Match Report,,15.0,4.0,20.1,2.0,0,0,2024,Genoa
10,2023-10-27,20:45,Serie A,Matchweek 10,Fri,Home,W,1.0,0.0,Salernitana,0.5,0.6,51.0,,Milan Badelj,3-5-2,Davide Massa,Match Report,,8.0,4.0,14.7,0.0,0,0,2024,Genoa
12,2023-11-05,15:00,Serie A,Matchweek 11,Sun,Away,L,1.0,2.0,Cagliari,1.0,0.9,58.0,,Milan Badelj,3-5-2,Marco Guida,Match Report,,8.0,2.0,13.6,0.0,0,0,2024,Genoa
13,2023-11-10,20:45,Serie A,Matchweek 12,Fri,Home,W,1.0,0.0,Hellas Verona,1.6,0.2,50.0,,Milan Badelj,3-5-2,Daniele Orsato,Match Report,,16.0,5.0,16.3,1.0,0,0,2024,Genoa
14,2023-11-26,15:00,Serie A,Matchweek 13,Sun,Away,L,1.0,2.0,Frosinone,1.3,0.6,43.0,,Milan Badelj,3-5-2,Luca Zufferli,Match Report,,13.0,3.0,17.9,1.0,0,0,2024,Genoa
1,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Home,L,0.0,3.0,Juventus,1.0,1.8,49.0,,Walace,3-5-2,Antonio Rapuano,Match Report,,18.0,5.0,22.8,1.0,0,0,2024,Udinese
2,2023-08-28,18:30,Serie A,Matchweek 2,Mon,Away,D,1.0,1.0,Salernitana,0.8,0.5,44.0,,Walace,3-5-2,Davide Massa,Match Report,,14.0,6.0,21.3,1.0,0,0,2024,Udinese
3,2023-09-02,18:30,Serie A,Matchweek 3,Sat,Home,D,0.0,0.0,Frosinone,1.5,1.8,47.0,,Walace,3-5-2,Marco Guida,Match Report,,12.0,6.0,16.4,1.0,0,0,2024,Udinese
4,2023-09-17,12:30,Serie A,Matchweek 4,Sun,Away,D,0.0,0.0,Cagliari,0.7,1.6,54.0,,Walace,3-5-2,Daniele Doveri,Match Report,,11.0,1.0,13.2,0.0,0,0,2024,Udinese
5,2023-09-24,15:00,Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Fiorentina,2.2,0.5,49.0,,Walace,3-5-2,Daniele Chiffi,Match Report,,20.0,8.0,14.6,1.0,0,0,2024,Udinese
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,L,1.0,4.0,Napoli,0.7,3.3,34.0,,Walace,3-5-2,Gianluca Manganiello,Match Report,,13.0,3.0,19.3,0.0,0,0,2024,Udinese
7,2023-10-01,15:00,Serie A,Matchweek 7,Sun,Home,D,2.0,2.0,Genoa,1.3,0.8,59.0,,Roberto Pereyra,3-5-2,Maurizio Mariani,Match Report,,11.0,2.0,17.1,1.0,0,0,2024,Udinese
8,2023-10-06,18:30,Serie A,Matchweek 8,Fri,Away,D,0.0,0.0,Empoli,0.7,1.3,40.0,,Roberto Pereyra,3-5-2,Michael Fabbri,Match Report,,11.0,1.0,18.4,0.0,0,0,2024,Udinese
9,2023-10-23,18:30,Serie A,Matchweek 9,Mon,Home,D,1.0,1.0,Lecce,2.1,0.8,46.0,,Roberto Pereyra,3-5-2,Paride Tremolada,Match Report,,11.0,4.0,18.4,1.0,1,1,2024,Udinese
10,2023-10-29,15:00,Serie A,Matchweek 10,Sun,Away,D,1.0,1.0,Monza,1.1,0.5,39.0,,Roberto Pereyra,3-5-2,Alessandro Prontera,Match Report,,10.0,3.0,18.6,0.0,0,0,2024,Udinese
12,2023-11-04,20:45,Serie A,Matchweek 11,Sat,Away,W,1.0,0.0,Milan,1.4,0.9,28.0,,Roberto Pereyra,3-5-2,Juan Sacchi,Match Report,,11.0,1.0,18.9,1.0,1,1,2024,Udinese
13,2023-11-12,15:00,Serie A,Matchweek 12,Sun,Home,D,1.0,1.0,Atalanta,1.5,0.7,35.0,,Roberto Pereyra,3-5-1-1,Gianluca Aureliano,Match Report,,12.0,4.0,23.6,0.0,0,1,2024,Udinese
14,2023-11-26,18:00,Serie A,Matchweek 13,Sun,Away,L,1.0,3.0,Roma,0.5,1.4,36.0,,Walace,3-5-2,Luca Massimi,Match Report,,6.0,2.0,20.2,0.0,0,0,2024,Udinese
1,2023-08-21,18:30,Serie A,Matchweek 1,Mon,Away,D,0.0,0.0,Torino,0.4,1.0,43.0,,Nahitan Nández,3-4-3,Francesco Cosso,Match Report,,8.0,2.0,20.2,1.0,0,0,2024,Cagliari
2,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Home,L,0.0,2.0,Inter,0.6,0.9,33.0,,Leonardo Pavoletti,4-2-3-1,Michael Fabbri,Match Report,,12.0,2.0,17.8,0.0,0,0,2024,Cagliari
3,2023-09-02,18:30,Serie A,Matchweek 3,Sat,Away,L,1.0,2.0,Bologna,0.5,2.3,29.0,,Nahitan Nández,4-1-3-2,Daniele Orsato,Match Report,,7.0,1.0,20.7,1.0,0,0,2024,Cagliari
4,2023-09-17,12:30,Serie A,Matchweek 4,Sun,Home,D,0.0,0.0,Udinese,1.6,0.7,46.0,,Leonardo Pavoletti,3-5-2,Daniele Doveri,Match Report,,10.0,1.0,13.7,0.0,0,0,2024,Cagliari
5,2023-09-24,15:00,Serie A,Matchweek 5,Sun,Away,L,0.0,2.0,Atalanta,0.8,1.7,44.0,,Alessandro Deiola,3-5-2,Ermanno Feliciani,Match Report,,10.0,0.0,17.5,0.0,0,0,2024,Cagliari
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,L,1.0,3.0,Milan,0.9,2.1,34.0,,Nahitan Nández,5-4-1,Federico La Penna,Match Report,,16.0,6.0,19.6,1.0,0,0,2024,Cagliari
7,2023-10-02,20:45,Serie A,Matchweek 7,Mon,Away,L,0.0,3.0,Fiorentina,0.8,1.2,40.0,,Alessandro Deiola,4-4-2,Marco Di Bello,Match Report,,6.0,3.0,12.6,0.0,0,0,2024,Cagliari
8,2023-10-08,18:00,Serie A,Matchweek 8,Sun,Home,L,1.0,4.0,Roma,1.7,2.6,57.0,,Nahitan Nández,3-5-2,Simone Sozza,Match Report,,15.0,1.0,18.3,1.0,1,1,2024,Cagliari
9,2023-10-22,15:00,Serie A,Matchweek 9,Sun,Away,D,2.0,2.0,Salernitana,1.7,1.5,51.0,,Alessandro Deiola,4-3-1-2,Daniele Chiffi,Match Report,,13.0,6.0,15.6,0.0,0,0,2024,Cagliari
10,2023-10-29,12:30,Serie A,Matchweek 10,Sun,Home,W,4.0,3.0,Frosinone,3.4,1.5,47.0,,Alessandro Deiola,4-3-2-1,Luca Pairetto,Match Report,,23.0,5.0,18.0,1.0,0,1,2024,Cagliari
12,2023-11-05,15:00,Serie A,Matchweek 11,Sun,Home,W,2.0,1.0,Genoa,0.9,1.0,42.0,,Marco Mancosu,4-3-1-2,Marco Guida,Match Report,,12.0,4.0,23.2,0.0,0,0,2024,Cagliari
13,2023-11-11,18:00,Serie A,Matchweek 12,Sat,Away,L,1.0,2.0,Juventus,0.6,2.3,51.0,,Nicolas Viola,4-2-3-1,Marco Piccinini,Match Report,,11.0,2.0,16.1,0.0,0,0,2024,Cagliari
14,2023-11-26,12:30,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Monza,1.6,0.7,39.0,,Nicolas Viola,3-4-3,Matteo Marchetti,Match Report,,17.0,5.0,15.0,1.0,0,0,2024,Cagliari
1,2023-08-19,18:30,Serie A,Matchweek 1,Sat,Home,L,0.0,1.0,Hellas Verona,0.7,0.5,48.0,,Sebastiano Luperto,4-2-3-1,Luca Massimi,Match Report,,10.0,4.0,22.8,2.0,0,0,2024,Empoli
2,2023-08-26,18:30,Serie A,Matchweek 2,Sat,Away,L,0.0,2.0,Monza,1.0,2.0,46.0,,Sebastiano Luperto,4-2-3-1,Gianluca Aureliano,Match Report,,18.0,6.0,18.8,0.0,0,0,2024,Empoli
3,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Home,L,0.0,2.0,Juventus,0.3,2.7,50.0,,Sebastiano Luperto,4-3-3,Giovanni Ayroldi,Match Report,,7.0,0.0,21.2,0.0,0,0,2024,Empoli
4,2023-09-17,20:45,Serie A,Matchweek 4,Sun,Away,L,0.0,7.0,Roma,0.2,2.4,47.0,,Sebastiano Luperto,4-3-3,Juan Sacchi,Match Report,,8.0,2.0,23.0,0.0,0,0,2024,Empoli
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Home,L,0.0,1.0,Inter,0.3,1.6,39.0,,Sebastiano Luperto,4-3-2-1,Matteo Marcenaro,Match Report,,7.0,1.0,21.2,1.0,0,0,2024,Empoli
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,W,1.0,0.0,Salernitana,3.2,0.6,42.0,,Sebastiano Luperto,4-3-2-1,Antonio Rapuano,Match Report,,13.0,6.0,16.0,2.0,0,0,2024,Empoli
7,2023-10-01,12:30,Serie A,Matchweek 7,Sun,Away,L,0.0,3.0,Bologna,0.9,2.4,42.0,,Sebastiano Luperto,4-3-1-2,Fabio Maresca,Match Report,,12.0,4.0,15.9,1.0,0,0,2024,Empoli
8,2023-10-06,18:30,Serie A,Matchweek 8,Fri,Home,D,0.0,0.0,Udinese,1.3,0.7,60.0,,Sebastiano Luperto,4-3-2-1,Michael Fabbri,Match Report,,18.0,3.0,17.6,0.0,0,0,2024,Empoli
9,2023-10-23,20:45,Serie A,Matchweek 9,Mon,Away,W,2.0,0.0,Fiorentina,1.5,1.0,29.0,43147.0,Sebastiano Luperto,4-3-2-1,Federico Dionisi,Match Report,,7.0,3.0,12.5,0.0,0,0,2024,Empoli
10,2023-10-30,18:30,Serie A,Matchweek 10,Mon,Home,L,0.0,3.0,Atalanta,0.3,1.6,44.0,,Sebastiano Luperto,4-3-3,Luca Massimi,Match Report,,9.0,2.0,27.2,0.0,0,0,2024,Empoli
11,2023-11-06,18:30,Serie A,Matchweek 11,Mon,Away,L,1.0,2.0,Frosinone,1.5,0.8,36.0,,Sebastiano Luperto,4-3-3,Gianluca Manganiello,Match Report,,10.0,2.0,15.8,0.0,0,0,2024,Empoli
12,2023-11-12,12:30,Serie A,Matchweek 12,Sun,Away,W,1.0,0.0,Napoli,0.5,0.9,35.0,,Sebastiano Luperto,4-3-3,Alessandro Prontera,Match Report,,8.0,3.0,18.8,0.0,0,0,2024,Empoli
13,2023-11-26,15:00,Serie A,Matchweek 13,Sun,Home,L,3.0,4.0,Sassuolo,1.4,2.3,49.0,,Sebastiano Luperto,4-3-3,Simone Sozza,Match Report,,10.0,6.0,16.2,0.0,1,1,2024,Empoli
1,2023-08-19,18:30,Serie A,Matchweek 1,Sat,Away,W,1.0,0.0,Empoli,0.5,0.7,52.0,,Paweł Dawidowicz,3-4-3,Luca Massimi,Match Report,,10.0,4.0,18.2,0.0,0,0,2024,Hellas Verona
2,2023-08-26,20:45,Serie A,Matchweek 2,Sat,Home,W,2.0,1.0,Roma,0.7,1.5,29.0,,Paweł Dawidowicz,3-4-3,Daniele Doveri,Match Report,,5.0,3.0,15.9,0.0,0,0,2024,Hellas Verona
3,2023-09-01,18:30,Serie A,Matchweek 3,Fri,Away,L,1.0,3.0,Sassuolo,0.6,1.7,53.0,,Davide Faraoni,3-4-1-2,Marco Piccinini,Match Report,,11.0,3.0,18.8,0.0,0,0,2024,Hellas Verona
4,2023-09-18,20:45,Serie A,Matchweek 4,Mon,Home,D,0.0,0.0,Bologna,0.4,0.6,40.0,,Davide Faraoni,3-4-3,Federico La Penna,Match Report,,9.0,1.0,17.6,0.0,0,0,2024,Hellas Verona
5,2023-09-23,15:00,Serie A,Matchweek 5,Sat,Away,L,0.0,1.0,Milan,0.6,0.9,46.0,,Davide Faraoni,3-4-3,Fabio Maresca,Match Report,,10.0,2.0,17.9,0.0,0,0,2024,Hellas Verona
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,L,0.0,1.0,Atalanta,0.5,1.2,51.0,,Davide Faraoni,3-4-3,Federico Dionisi,Match Report,,11.0,2.0,23.1,1.0,0,0,2024,Hellas Verona
7,2023-10-02,18:30,Serie A,Matchweek 7,Mon,Away,D,0.0,0.0,Torino,0.3,0.6,45.0,,Darko Lazović,3-4-3,Ermanno Feliciani,Match Report,,5.0,2.0,24.4,1.0,0,0,2024,Hellas Verona
8,2023-10-08,15:00,Serie A,Matchweek 8,Sun,Away,L,1.0,2.0,Frosinone,0.8,1.8,48.0,,Darko Lazović,3-4-1-2,Maria Sole Ferrieri Caputi,Match Report,,16.0,4.0,22.7,0.0,0,0,2024,Hellas Verona
9,2023-10-21,15:00,Serie A,Matchweek 9,Sat,Home,L,1.0,3.0,Napoli,1.3,2.3,40.0,,Davide Faraoni,3-4-3,Rosario Abisso,Match Report,,15.0,9.0,14.8,0.0,0,0,2024,Hellas Verona
10,2023-10-28,20:45,Serie A,Matchweek 10,Sat,Away,L,0.0,1.0,Juventus,0.3,3.3,46.0,,Davide Faraoni,3-4-1-2,Ermanno Feliciani,Match Report,,7.0,1.0,17.9,0.0,0,0,2024,Hellas Verona
12,2023-11-05,12:30,Serie A,Matchweek 11,Sun,Home,L,1.0,3.0,Monza,1.0,0.9,46.0,,Davide Faraoni,3-5-2,Giuseppe Collu,Match Report,,16.0,5.0,21.9,0.0,0,0,2024,Hellas Verona
13,2023-11-10,20:45,Serie A,Matchweek 12,Fri,Away,L,0.0,1.0,Genoa,0.2,1.6,50.0,,Giangiacomo Magnani,3-5-2,Daniele Orsato,Match Report,,7.0,1.0,17.0,0.0,0,0,2024,Hellas Verona
14,2023-11-27,18:30,Serie A,Matchweek 13,Mon,Home,D,2.0,2.0,Lecce,1.7,1.0,49.0,,Milan Đurić,4-2-3-1,Federico La Penna,Match Report,,19.0,11.0,17.1,2.0,0,0,2024,Hellas Verona
1,2023-08-20,18:30,Serie A,Matchweek 1,Sun,Away,D,2.0,2.0,Roma,0.1,1.9,40.0,,Federico Fazio,3-4-3,Ermanno Feliciani,Match Report,,3.0,2.0,22.1,0.0,0,0,2024,Salernitana
2,2023-08-28,18:30,Serie A,Matchweek 2,Mon,Home,D,1.0,1.0,Udinese,0.5,0.8,56.0,,Antonio Candreva,3-4-3,Davide Massa,Match Report,,9.0,4.0,21.2,0.0,0,0,2024,Salernitana
3,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Away,L,0.0,2.0,Lecce,1.1,1.7,54.0,,Antonio Candreva,3-4-3,Luca Massimi,Match Report,,11.0,4.0,20.9,1.0,0,0,2024,Salernitana
4,2023-09-18,18:30,Serie A,Matchweek 4,Mon,Home,L,0.0,3.0,Torino,0.7,1.8,56.0,,Antonio Candreva,3-4-3,Antonio Giua,Match Report,,14.0,4.0,19.8,0.0,0,0,2024,Salernitana
5,2023-09-22,18:30,Serie A,Matchweek 5,Fri,Home,D,1.0,1.0,Frosinone,1.1,0.7,50.0,,Antonio Candreva,3-4-3,Marco Piccinini,Match Report,,19.0,6.0,16.7,0.0,0,0,2024,Salernitana
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Away,L,0.0,1.0,Empoli,0.6,3.2,58.0,,Antonio Candreva,3-4-3,Antonio Rapuano,Match Report,,14.0,2.0,20.9,0.0,0,0,2024,Salernitana
7,2023-09-30,20:45,Serie A,Matchweek 7,Sat,Home,L,0.0,4.0,Inter,0.6,2.3,36.0,,Norbert Gyömbér,3-4-3,Rosario Abisso,Match Report,,12.0,3.0,22.6,1.0,0,0,2024,Salernitana
8,2023-10-08,12:30,Serie A,Matchweek 8,Sun,Away,L,0.0,3.0,Monza,0.6,2.8,43.0,,Antonio Candreva,3-4-3,Luca Massimi,Match Report,,8.0,5.0,17.3,0.0,0,0,2024,Salernitana
